decile,clients,subscribers,actual_rate,avg_prob,lift
1,4522,43,0.00950906678460858,0.12687184,0.08128463195290953
2,4521,94,0.0207918602079186,0.1914863,0.17773128982042125
3,4521,148,0.0327361203273612,0.2316703,0.27983224354704617
4,4521,163,0.03605397036053971,0.26958612,0.30819361958221986
5,4521,211,0.046671090466710904,0.3081251,0.3989500228947753
6,4521,289,0.0639239106392391,0.35013908,0.5464291782776781
7,4521,408,0.0902455209024552,0.40004775,0.7714294281567219
8,4521,512,0.11324928113249282,0.46620318,0.9680683020005924
9,4521,991,0.2191992921919929,0.6023682,1.8737415767238026
10,4521,2430,0.5374917053749171,0.8543359,4.594542917698123
